0,"",""
1,"Kingdom Brewing","Newport , Vermont USA"
2,"Wards Cidery (The View Winery)","Kelowna, Canada"
3,"Vanguard Brewing Company","Wilsonville , Oregon USA"
4,"Croft Brewing Company","Brisbane, Australia"
5,"Milk & Honey Ciders","Cold Spring , Minnesota USA"
6,"Het Klaverblad Amersfoort V.O.F.","Hoogland, Netherlands"
7,"Hop Dogma Brewing Company","El Granada , California USA"
8,"Fair State Brewing Cooperative","Minneapolis , Minnesota USA"
9,"Efes Karaganda","Karaganda, Kazakhstan"
10,"La Ferme d�Hotte","Eaux-Puiseaux, France"
11,"Hops Haven Brew Haus/Port Washington Brewing Co.","Sheboygan , Wisconsin USA"
12,"Homestead Beer Co.","Heath , Ohio USA"
13,"Bargara Brewing Company","Bundaberg, Australia"
14,"Hoxton Cidersmiths","Cheltenham, England"
15,"Wyszak","Szczecin, Poland"
16,"Blind Tiger","Topeka , Kansas USA"
17,"Red Fox","Coggeshall, England"
18,"Lost Nation Brewing","Morrisville , Vermont USA"
19,"Three Saints Cider","Usk, Wales"
20,"Mt. Tabor Brewing","Vancouver , Washington USA"
21,"Brauerei M�hlbauer","Arnschwang, Germany"
22,"Vlaardingse Bierbrouwerij","Vlaardingen, Netherlands"
23,"Rhymney","Pontypool, Monmouthshire, Wales"
24,"Flagstaff Brewing Company","Flagstaff , Arizona USA"
25,"J�r�me et Ludovic LECROSNIER - Chrystelle ROCHARD","Saint-Cyr-Du-Bailleul, France"
26,"Wooden Skiff Brewing","Hilton Head Island , South Carolina USA"
27,"McRitchie Ciderworks","Thurmond , North Carolina USA"
28,"ALEhouse","Riga, Latvia"
29,"Hop & Cleaver","Newcastle upon Tyne, England"
30,"Belmont Brewing Company","Long Beach , California USA"
31,"Lukaya Beers Brewing Co.","Vero Beach , Florida USA"
32,"Berryessa Brewing Company","Winters , California USA"
33,"Jan Olbracht Browar Rzemieślniczy","Piotrk�w Trybunalski, Poland"
34,"Margaret River Ale Co.","Margaret River, Australia"
35,"Burley Oak Brewing Company","Berlin , Maryland USA"
36,"Brasserie des Vignes","Graulhet, France"
37,"White Hag","Ballymote, Ireland"
38,"Bantam Cider Company","Cambridge , Massachusetts USA"
39,"Kaapse Brouwers","Rotterdam, Netherlands"
40,"Labatt USA (North American Breweries)","Buffalo , New York USA"
41,"Gonzo�s BiggDogg Brewing","Kalamazoo , Michigan USA"
42,"Wakonda Brewing","Florence , Oregon USA"
43,"Brauerei Prechtel","Uehlfeld, Germany"
44,"Morro Bay Brewing Company","Morro Bay , California USA"
45,"Microbrouwerij Urthel","Ruiselede, Belgium"
46,"NOLA - New Orleans Lager & Ale","New Orleans , Louisiana USA"
47,"Heidenpeters","Kreuzberg, Germany"
48,"Larvik Mikrobryggeri","Larvik, Norway"
49,"Hardywood Park Craft Brewery","Richmond , Virginia USA"
50,"Brauerei Josef Reitinger","Oberroth, Germany"
51,"Arribal","Poggibonsi, Italy"
52,"Fathom and League Hop Yard Brewery","Sequim , Washington USA"
53,"Brauerei Gratzer","Kaindorf, Austria"
54,"Denver Beer Company","Denver , Colorado USA"
55,"Central State Brewing","Indianapolis , Indiana USA"
56,"Bad Hair Brewing","Kapelle, Netherlands"
57,"Ghost Runners Brewery","Vancouver , Washington USA"
58,"Traquair House","Innerleithen, Borders, Scotland"
59,"Mad Chef Craft Brewing","East Petersburg , Pennsylvania USA"
60,"Matsalu Pruulikoda","Poanse k�la, L��nemaa, Estonia"
61,"Bastone Brewery","Royal Oak , Michigan USA"
62,"Figueroa Mountain Brewing","Buellton , California USA"
63,"Orpheus Brewing","Atlanta , Georgia USA"
64,"Browar Kingpin","Poznań, Poland"
65,"Harpoon Brewery","Boston , Massachusetts USA"
66,"Blonder S�rgyar","Vonyarcvashegy, Hungary"
67,"Tipping Point Brewing Co.","Central, Hong Kong"
68,"Menabrea (Forst)","Biella, Italy"
69,"Crannog Ales","Sorrento, Canada"
70,"Big Bang Brewery","San Francisco , California USA"
71,"BentSpoke Brewing Company","Braddon, Canberra, Australia"
72,"Nashoba Valley Winery / Bolton Beer Works","Bolton , Massachusetts USA"
73,"Le-Brewery","Joue-Du-Bois, France"
74,"PH Woods Bar-B-Que & Brewery","Moreno Valley , California USA"
75,"Central Waters Brewing Co.","Amherst , Wisconsin USA"
76,"McNeills Brewery","Brattleboro , Vermont USA"
77,"Stara Zajezdnia","Krakow, Poland"
78,"Lazy Hiker Brewing Company","Franklin , North Carolina USA"
79,"Jo C�s","Fakenham, England"
80,"Ironwood Brewing Co. LLC","Valparaiso , Indiana USA"
81,"Laagen Bryggeri","S�r-Fron, Norway"
82,"Odder Bryghus","Odder, Denmark"
83,"Blowing Rock Brewing Company","Blowing Rock , North Carolina USA"
84,"Alameda Brewing Co.","Portland , Oregon USA"
85,"Community Beer Works","Buffalo , New York USA"
86,"Birrificio del Pirata","Figino, Switzerland"
87,"Barnsley Beer Company","Ardsley Barnsley, England"
88,"Roosevelt Brewing Company & Public House","Portales , New Mexico USA"
89,"Chicago Brewing Company","Las Vegas , Nevada USA"
90,"Pivara Skopje (Heineken)","Skopje, Macedonia"
91,"The Alchemist","Waterbury , Vermont USA"
92,"Fullsteam Brewery","Durham , North Carolina USA"
93,"Brauhaus Trotzenburg (Ostsee Brauhaus)","Rostock, Germany"
94,"Hubbard�s Cave Brewery","Chicago , Illinois USA"
95,"Little Harpeth Brewery","Nashville , Tennessee USA"
96,"Henninger Br�u (Oetker Group)","Frankfurt, Germany"
97,"Be�che Cerveceria Artesanal",", Costa Rica"
98,"Lost Falls Brewery","Colville , Washington USA"
99,"Rakrang Ryomyong Sikryo Kongjang","Pyongyang, North Korea"
100,"Belvoir","Melton Mowbray, England"
101,"Cains","Liverpool, England"
102,"Provianten Brygghus","Mandal, Norway"
103,"Cannon Royall","Droitwich, England"
104,"Der Blokken Brewery","Bremerton , Washington USA"
105,"White Lion Brewing Company","Springfield , Massachusetts USA"
106,"L� Intruso","Sizzano (no), Italy"
107,"Dvinskij Brovar","Vitebsk, Belarus"
108,"Tribute Brewing Company","Eagle River , Wisconsin USA"
109,"Hornbeam","Manchester, England"
110,"Greene King","Bury St. Edmunds, England"
111,"The Filling Station Microbrewery","Traverse City , Michigan USA"
112,"Tap House","Ashby-de-la-Zouch, England"
113,"Raduga",", Poland"
114,"F�rst Wallerstein Brauhaus","Wallerstein, Germany"
115,"Mariposa Brewing Company","Mariposa , California USA"
116,"Staffordshire (prev Leek)","Leek, England"
117,"Mash (London)","London, England"
118,"Tun Tavern","Atlantic City , New Jersey USA"
119,"Terra i Xufa S. L.",", Spain"
120,"Ferme-Brasserie de Gaillon / Ferme Rabourdin","Courpalay, France"
121,"Cool Springs Brewing Company","Franklin , Tennessee USA"
122,"Nine Brothers","Bern, Switzerland"
123,"Ceaux","Utrecht, Netherlands"
124,"Brothers Craft Brewing","Harrisonburg , Virginia USA"
125,"Battersea","London, England"
126,"Tenzan Shuzo","Ogi-shi, Saga Prefecture, Japan"
127,"InBev UK","Luton, England"
128,"Apple Cottage Cider","Baldock, England"
129,"Crafty Devil Brewing Company","Cardiff, Wales"
130,"Atlas (Sinclair Breweries)","Kinlochleven, Scotland"
131,"Stichting Brouwerij De Kat Helmond","Helmond, Netherlands"
132,"West Avenue Cider","Toronto, Canada"
133,"Druids Brewing Company (Fire Creek Grill)","Covington , Washington USA"
134,"De Bourgondische Brouwers","Beverwijk, Netherlands"
135,"Big Bay Brewing Company","Shorewood , Wisconsin USA"
136,"Cassels & Sons Brewing Company","Christchurch, New Zealand"
137,"Little Bang Brewing Company","Fullarton, Australia"
