"Var1","Freq"
"1","Abbey Dubbel",1859
"2","Abbey Tripel",2336
"3","Abt/Quadrupel",822
"4","Altbier",1051
"5","Amber Ale",6130
"6","Amber Lager/Vienna",1519
"7","American Pale Ale",13201
"8","American Strong Ale",3065
"9","Baltic Porter",1090
"10","Barley Wine",5922
"11","Belgian Ale",4797
"12","Belgian Strong Ale",4572
"13","Berliner Weisse",2610
"14","Bière de Garde",801
"15","Bitter",2829
"16","Black IPA",4034
"17","Brown Ale",5521
"18","California Common",922
"19","Cider",1730
"20","Cream Ale",1177
"21","Czech Pilsner (Svetlý)",609
"22","Doppelbock",1508
"23","Dortmunder/Helles",1163
"24","Dry Stout",1178
"25","Dunkel/Tmavý",1084
"26","Dunkelweizen",1022
"27","Dunkler Bock",935
"28","Eisbock",190
"29","English Pale Ale",1731
"30","English Strong Ale",968
"31","Foreign Stout",809
"32","Fruit Beer",6194
"33","German Hefeweizen",6455
"34","German Kristallweizen",176
"35","Golden Ale/Blond Ale",7086
"36","Grodziskie/Gose/Lichtenhainer",1253
"37","Heller Bock",1284
"38","Ice Cider/Ice Perry",100
"39","Imperial IPA",11044
"40","Imperial Pils/Strong Pale Lager",893
"41","Imperial Porter",2049
"42","Imperial Stout",13193
"43","India Pale Ale (IPA)",24064
"44","Irish Ale",1368
"45","Kölsch",1612
"46","Lambic Style - Faro",60
"47","Lambic Style - Fruit",939
"48","Lambic Style - Gueuze",333
"49","Lambic Style - Unblended",203
"50","Low Alcohol",938
"51","Malt Liquor",545
"52","Mead",1337
"53","Mild Ale",1260
"54","Oktoberfest/Märzen",1992
"55","Old Ale",849
"56","Pale Lager",5442
"57","Perry",80
"58","Pilsener",4025
"59","Polotmavý",39
"60","Porter",6763
"61","Premium Bitter/ESB",2600
"62","Premium Lager",1856
"63","Radler/Shandy",471
"64","Sahti/Gotlandsdricke/Koduõlu",144
"65","Saison",10915
"66","Saké - Daiginjo",81
"67","Saké - Genshu",42
"68","Saké - Ginjo",71
"69","Saké - Nigori",1
"70","Schwarzbier",1201
"71","Scotch Ale",2029
"72","Scottish Ale",814
"73","Session IPA",2714
"74","Smoked",2233
"75","Sour Red/Brown",1421
"76","Sour/Wild Ale",5951
"77","Specialty Grain",2329
"78","Spice/Herb/Vegetable",7016
"79","Stout",6501
"80","Sweet Stout",3657
"81","Traditional Ale",631
"82","Weizen Bock",676
"83","Wheat Ale",3686
"84","Witbier",3766
"85","Zwickel/Keller/Landbier",787
