0,""
1,"Spice/Herb/Vegetable"
2,"Porter"
3,"Kölsch"
4,"Foreign Stout"
5,"Saké - Genshu"
6,"Cream Ale"
7,"Pilsener"
8,"Abbey Dubbel"
9,"Sweet Stout"
10,"Scotch Ale"
11,"Specialty Grain"
12,"Ice Cider/Ice Perry"
13,"Dunkelweizen"
14,"Imperial Pils/Strong Pale Lager"
15,"California Common"
16,"Belgian Ale"
17,"Imperial Stout"
18,"Perry"
19,"Malt Liquor"
20,"Doppelbock"
21,"Premium Bitter/ESB"
22,"Scottish Ale"
23,"Dunkel/Tmavý"
24,"Altbier"
25,"Wheat Ale"
26,"Saké - Daiginjo"
27,"Saké - Nigori"
28,"Saké - Ginjo"
29,"Dry Stout"
30,"German Hefeweizen"
31,"Amber Lager/Vienna"
32,"English Pale Ale"
33,"American Strong Ale"
34,"Baltic Porter"
35,"Lambic Style - Gueuze"
36,"Brown Ale"
37,"Bière de Garde"
38,"Golden Ale/Blond Ale"
39,"Sahti/Gotlandsdricke/Koduõlu"
40,"Oktoberfest/Märzen"
41,"Lambic Style - Faro"
42,"Abt/Quadrupel"
43,"Belgian Strong Ale"
44,"Amber Ale"
45,"Czech Pilsner (Světlý)"
46,"Low Alcohol"
47,"Traditional Ale"
48,"German Kristallweizen"
49,"Heller Bock"
50,"Premium Lager"
51,"Polotmavý"
52,"Imperial IPA"
53,"Stout"
54,"Cider"
55,"Barley Wine"
56,"Smoked"
57,"Sour/Wild Ale"
58,"Pale Lager"
59,"Abbey Tripel"
60,"Zwickel/Keller/Landbier"
61,"Session IPA"
62,"Sour Red/Brown"
63,"Mild Ale"
64,"Grodziskie/Gose/Lichtenhainer"
65,"Bitter"
66,"Old Ale"
67,"Imperial Porter"
68,"Irish Ale"
69,"Weizen Bock"
70,"Saison"
71,"India Pale Ale (IPA)"
72,"Berliner Weisse"
73,"Black IPA"
74,"American Pale Ale"
75,"Lambic Style - Unblended"
76,"Mead"
77,"Dunkler Bock"
78,"Fruit Beer"
79,"Dortmunder/Helles"
80,"English Strong Ale"
81,"Radler/Shandy"
82,"Schwarzbier"
83,"Lambic Style - Fruit"
84,"Eisbock"
85,"Witbier"
